A1,A12A,A12B,A12B1,A12B2A,A12B2B,A12B2C,A12B2C2,A12B3A,A12B3B,A12B3C,A12B3C2,A12C,A2,A3,A4,A41,B1,B11A,B11B1,B11B2,B2,B2O,B3,B4,B5,B6,B6O,B7,B8A,B8B,B8C,B8D,B8DO,B9,B10,B11,C1,C2,C21,C22A,C22B,C22C,C3,C4,C41A,C41B2,C41B3,C41B4,C41B5,C41B6,C41B7,C41B8,C42,D1,D1O,D2,D2O,D3,D3O,E11,E12,E13,E2,E221,E222,E223,E3,E4,E5,F1,F2,F3,F4,F6,F6O,F7A,F7B,F8,F81,F9,yy,cc,wi,F9_area,F5,city,cityarea
1, , , , , , , , , , , , ,1,4,1,1,1,316,5000,3,6,0,1,7,7,5,0,1,7,3,7,7,0,1,3,1,2,1,3, , , ,1,2,9,9,9,9,9,9,9,9,4,5,0,3,0,6,0,1,0, ,2,1,4,9,1,1,2,1,2,4,5,5,0,3,2,1,6,2,2007,101,1,1,0,2,1
1, , , , , , , , , , , , ,2,5,2,0,1,430,9324,0,3,0,1,5,9,6,0,3,4,2,7,8,0,0,2,1, , , , , , , , , , , , , , , , , ,2,0,1,0,4,0,2,3,1,2,1,2,7,1,1,1,1,1,5,4,9,9,0,0,2, ,2,2012,150,0.8,1,15,2,1
1, , , , , , , , , , , , ,1,8,1,5,1,315,3210,0,2,0,1,8,3,5,0,3,8,3,3,6,0,1,2,2, , , , , , , , , , , , , , , , , ,12,0,1,0,3,0,1,6,3,1,0,0,0,1,1,1,1,1,4,5,9,0,2,2,1,1,2,2014,298,0.05,1,14,2,1
1, , , , , , , , , , , , ,1,8,2,0,2,0,7500,0,4,0,1,5,4,7,0,1,5,2,4,8,0,1,2,2,3,1,1, , , ,8,2,9,9,9,9,9,9,9,9,2,4,0,3,0,3,0,2,5,3,2,8,1,2,1,1,1,1,1,4,6,9,8,1,2,1,1,1,2011,124,1.06,1,12,2,1
1, , , , , , , , , , , , ,2,7,1,3,1,318,1137,4,4,0,1,6,8,7,0,3,6,1,8,9,0,0,2,1, , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, , ,1,0,0,0,3,3,3,2,1,5,3,5,0,2,1,2, ,2,2014,124,0.8,1,15,2,1
1, , , , , , , , , , , , ,2,7,1,3,1,415,2160,0,1,0,1,6,4,5,0,3,6,5,2,5,0,0,2,1, , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0, , ,1,0,0,0,1,1,1,2,1,7,2,0,0,0,0,2, ,3,2012,149,0.8,1,15,2,1
1, , , , , , , , , , , , ,2,1,1,3,1,317,13063,1,3,0,1,5,3,4,0,3,5,4,2,6,0,0,2,2, , , , , , , , , , , , , , , , , ,6,0,1,0,3,0,1,2,3,1,0,0,0,1,1,1,2,1,5,4,8,0,2,2,2, ,2,2008,150,1,1,15,2,1
1, , , , , , , , , , , , ,1,6,1,3,1,420,14250,1,4,0,2,2,7,9,50,6,2,2,7,11,50,6,2,1, , , , , , , , , , , , , , , , , ,3,0,1,0,4,0,5,4,2,2,9,0,0,2,3,2,1,1,6,5,5,0,2,2,1,6,1,2009,171,1.06,1,14,2,1
1, , , , , , , , , , , , ,1,3,1,3,2,0,10000,0,4,0,1,4,7,9,0,2,4,1,5,11,0,3,4,2,1,1,3, , , ,6,2,9,9,9,9,9,9,9,9,1,7,0,9,0,8,0,2,1,3,2,2,3,8,1,1,1,1,1,3,5,3,0,2,2,1,6,2,2008,124,1,1,21,2,1
1, , , , , , , , , , , , ,1,5,1,3,2,0,7500,0,4,0,3,7,4,7,0,4,6,3,4,6,0,2,4,1, , , , , , , , , , , , , , , , , ,10,0,3,0,5,0,1,2,4,2,8,2,3,1,1,1,1,2,4,3,2,0,2,1,1,4,2,2011,111,1.06,1,22,2,1
