,機車等級,使用頻率,使用距離
0,N,U,less_15
1,N,U,less_40
2,Y,U,less_15
3,N,U,less_40
4,N,U,less_40
5,N,U,less_15
6,N,U,less_15
7,N,F,higher_40
8,N,U,higher_40
9,N,U,less_40
10,N,U,less_40
11,N,U,less_5
12,N,U,less_40
13,N,U,less_15
14,N,U,less_40
15,N,U,less_40
16,N,U,less_15
17,N,U,less_40
18,N,U,less_40
19,N,U,less_40
20,N,U,less_15
21,N,U,less_15
22,N,U,less_40
23,R,F,higher_40
24,R,U,higher_40
25,N,U,less_15
26,N,F,less_15
27,R,F,less_15
28,R,U,higher_40
29,N,U,less_40
30,N,F,less_5
31,N,F,less_5
32,N,U,less_5
33,N,F,less_5
34,N,U,less_5
35,S,,
36,S,U,less_5
37,N,U,less_5
38,N,U,less_15
39,R,F,less_40
40,R,F,less_5
41,N,F,less_5
42,N,F,less_15
43,Y,F,higher_40
44,Y,U,less_15
45,Y,U,less_40
46,Y,U,less_40
47,Y,F,less_40
48,Y,U,less_40
49,Y,U,less_40
50,N,U,less_15
51,S,U,higher_40
52,S,,
53,S,U,less_15
54,Y,U,less_15
55,N,U,less_40
56,N,U,less_5
57,N,U,less_40
58,N,U,less_40
59,N,F,less_15
60,N,U,less_15
61,N,F,less_5
62,N,F,less_15
63,N,U,less_15
64,N,U,less_40
65,N,F,less_5
66,N,F,less_40
67,N,U,less_5
68,N,U,higher_40
69,N,U,less_40
70,N,U,less_5
71,N,U,less_40
72,N,U,less_40
73,N,U,less_15
74,N,U,less_40
75,N,U,less_40
76,N,U,less_40
77,Y,,
78,N,U,less_15
79,N,U,
80,N,U,higher_40
81,R,F,less_40
82,N,U,less_40
83,R,U,less_40
84,N,U,less_15
85,N,U,less_40
86,N,U,less_40
87,N,U,less_15
88,N,U,less_15
89,N,U,less_15
90,N,U,less_40
91,N,,
92,N,F,higher_40
93,N,U,less_5
94,N,U,less_40
95,N,U,less_40
96,N,U,less_15
97,S,U,less_5
98,N,F,less_5
99,N,U,less_15
100,Y,F,higher_40
101,R,,less_5
102,N,U,
103,N,F,less_5
104,N,U,less_40
105,N,U,less_5
106,N,U,less_5
107,N,,
108,S,F,less_5
109,S,U,less_5
110,S,U,less_5
111,N,U,less_40
112,S,U,less_5
113,N,,
114,N,F,higher_40
115,N,U,less_40
116,N,U,higher_40
117,N,U,higher_40
118,N,U,less_40
119,N,U,less_15
120,N,U,less_5
121,N,U,less_15
122,N,U,less_40
123,N,U,less_40
124,S,U,less_40
125,N,U,less_5
126,N,U,less_40
127,N,U,less_5
128,Y,U,less_40
129,N,U,less_15
130,N,U,less_40
131,N,U,less_40
132,N,U,less_5
133,N,U,less_40
134,N,U,less_40
135,N,U,less_40
136,Y,U,higher_40
137,N,U,less_15
138,N,U,less_40
139,Y,F,higher_40
140,N,U,less_15
141,N,U,higher_40
142,N,U,less_40
143,N,U,less_40
144,N,U,less_5
145,N,U,less_5
146,N,U,less_15
147,R,F,less_40
148,N,U,less_15
149,R,U,higher_40
150,N,U,less_15
151,R,F,higher_40
152,N,F,less_15
153,N,,
154,N,U,less_15
155,N,U,less_40
156,N,U,less_5
157,N,F,less_15
158,N,U,less_5
159,N,F,less_15
160,N,U,less_15
161,N,U,less_5
162,N,U,less_40
163,N,F,less_5
164,N,U,less_40
165,N,U,less_15
166,N,U,less_40
167,N,U,less_40
168,N,U,less_15
169,N,U,less_15
170,R,F,less_40
171,N,U,
172,N,F,less_15
173,N,U,less_5
174,N,U,less_40
175,N,U,less_5
176,N,U,less_5
177,S,,
178,S,F,less_5
179,S,U,less_15
180,S,U,less_5
181,N,F,less_5
182,N,U,less_15
183,N,F,less_5
184,N,F,less_15
185,Y,U,less_40
186,Y,F,less_40
187,Y,U,less_40
188,Y,U,less_40
189,Y,U,less_40
190,Y,U,higher_40
191,Y,U,less_40
192,Y,U,less_40
193,Y,U,higher_40
194,N,U,less_15
195,R,U,
196,N,U,less_40
197,R,F,higher_40
198,,U,less_15
199,S,F,less_5
200,N,U,less_40
201,N,U,less_15
202,N,U,less_5
203,N,U,less_40
204,Y,U,less_40
205,N,U,less_5
206,N,U,less_15
207,N,U,less_40
208,N,,
209,N,U,higher_40
210,N,U,less_15
211,N,U,less_40
212,N,U,less_40
213,N,U,less_5
214,N,U,less_5
215,N,U,less_40
216,N,U,less_5
217,N,U,less_15
218,N,U,less_15
219,N,U,less_40
220,N,U,less_40
